Date,Growth,Score
2018-07-09,1,0
2018-07-16,1,0
2018-07-23,-1,0
2018-07-30,1,0
2018-08-06,-1,1
2018-08-13,1,0
2018-08-20,-1,1
2018-08-27,-1,0
2018-09-03,1,0
2018-09-10,1,0
2018-09-17,1,0
2018-09-24,-1,0
2018-10-01,-1,0
2018-10-08,-1,0
2018-10-15,1,0
2018-10-22,1,0
2018-10-29,-1,0
2018-11-05,1,0
2018-11-12,1,0
2018-11-19,-1,1
2018-11-26,1,0
2018-12-03,-1,0
2018-12-10,-1,0
2018-12-17,-1,0
2018-12-24,1,0
2018-12-31,-1,0
2019-01-07,-1,0
2019-01-14,1,0
2019-01-21,-1,0
2019-01-28,1,0
2019-02-04,1,0
2019-02-11,1,1
2019-02-18,-1,0
2019-02-25,-1,0
2019-03-04,-1,0
2019-03-11,1,0
2019-03-18,1,0
2019-03-25,1,0
2019-04-01,-1,0
2019-04-08,1,0
2019-04-15,1,1
2019-04-22,-1,0
2019-04-29,1,0
2019-05-06,1,0
2019-05-13,1,0
2019-05-20,-1,0
2019-05-27,-1,0
2019-06-03,1,0
2019-06-10,-1,0
2019-06-17,1,0
2019-06-24,-1,0
2019-07-01,1,0
2019-07-08,1,1
2019-07-15,-1,1
2019-07-22,1,0
2019-07-29,-1,0
2019-08-05,1,0
2019-08-12,1,0
2019-08-19,-1,0
2019-08-26,1,0
2019-09-02,1,0
2019-09-09,1,0
2019-09-16,-1,0
2019-09-23,1,0
2019-09-30,1,0
2019-10-07,-1,0
2019-10-14,-1,0
2019-10-21,1,0
2019-10-28,1,0
2019-11-04,-1,0
2019-11-11,1,0
2019-11-18,1,0
2019-11-25,1,0
2019-12-02,1,0
2019-12-09,1,0
2019-12-16,1,0
2019-12-23,-1,0
2019-12-30,-1,0
2020-01-06,-1,0
2020-01-13,1,0
2020-01-20,1,0
2020-01-27,1,0
2020-02-03,1,0
2020-02-10,1,1
2020-02-17,-1,0
2020-02-24,-1,0
2020-03-02,1,0
2020-03-09,-1,1
2020-03-16,-1,-1
2020-03-23,1,0
2020-03-30,1,1
2020-04-06,1,1
2020-04-13,1,1
